,BHK,Rent,Size,City,Furnishing Status,Tenant Preferred,Bathroom
0,2,10000,1100,Kolkata,Unfurnished,Bachelors/Family,2
1,2,20000,800,Kolkata,Semi-Furnished,Bachelors/Family,1
2,2,17000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1
3,2,10000,800,Kolkata,Unfurnished,Bachelors/Family,1
4,2,7500,850,Kolkata,Unfurnished,Bachelors,1
5,2,7000,600,Kolkata,Unfurnished,Bachelors/Family,2
6,2,10000,700,Kolkata,Unfurnished,Bachelors,2
7,2,26000,800,Kolkata,Unfurnished,Bachelors,2
8,2,10000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2
9,3,25000,1200,Kolkata,Semi-Furnished,Bachelors/Family,2
10,3,8500,900,Kolkata,Unfurnished,Bachelors,2
11,3,40000,1286,Kolkata,Furnished,Bachelors/Family,2
12,2,6000,600,Kolkata,Semi-Furnished,Bachelors/Family,1
13,2,6000,660,Kolkata,Unfurnished,Bachelors/Family,1
14,2,7900,650,Kolkata,Unfurnished,Family,1
15,2,9000,400,Kolkata,Unfurnished,Bachelors,2
16,3,6500,1600,Kolkata,Unfurnished,Bachelors/Family,1
17,1,8000,400,Kolkata,Semi-Furnished,Bachelors,1
18,2,7000,1000,Kolkata,Unfurnished,Bachelors/Family,1
19,2,6000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1
20,2,8500,800,Kolkata,Unfurnished,Bachelors/Family,1
21,2,12500,850,Kolkata,Unfurnished,Bachelors/Family,2
22,2,15000,900,Kolkata,Unfurnished,Bachelors/Family,2
23,2,6000,550,Kolkata,Semi-Furnished,Bachelors/Family,1
24,3,22000,1100,Kolkata,Unfurnished,Bachelors/Family,1
25,2,15000,850,Kolkata,Semi-Furnished,Bachelors/Family,1
26,2,12500,800,Kolkata,Unfurnished,Bachelors,1
27,2,7000,630,Kolkata,Unfurnished,Bachelors,1
28,2,21000,900,Kolkata,Semi-Furnished,Bachelors,2
29,2,7200,630,Kolkata,Semi-Furnished,Bachelors/Family,1
30,3,12000,1500,Kolkata,Furnished,Bachelors,2
31,2,8500,700,Kolkata,Semi-Furnished,Bachelors/Family,1
32,2,10000,1300,Kolkata,Semi-Furnished,Family,2
33,2,12000,650,Kolkata,Unfurnished,Family,2
34,3,15000,1068,Kolkata,Semi-Furnished,Bachelors/Family,2
35,1,7500,450,Kolkata,Unfurnished,Bachelors,1
36,2,15000,1000,Kolkata,Unfurnished,Bachelors/Family,2
37,2,11000,900,Kolkata,Semi-Furnished,Bachelors,1
38,1,7000,600,Kolkata,Unfurnished,Bachelors/Family,1
39,2,6000,1200,Kolkata,Unfurnished,Bachelors/Family,1
40,2,6000,1200,Kolkata,Semi-Furnished,Bachelors,2
41,2,7000,650,Kolkata,Semi-Furnished,Bachelors/Family,2
42,2,8500,720,Kolkata,Semi-Furnished,Bachelors/Family,2
43,3,30000,1200,Kolkata,Unfurnished,Bachelors/Family,3
44,2,10000,700,Kolkata,Unfurnished,Bachelors/Family,2
45,2,8000,1100,Kolkata,Unfurnished,Bachelors,1
46,2,7500,600,Kolkata,Semi-Furnished,Bachelors/Family,1
47,2,6500,800,Kolkata,Unfurnished,Bachelors/Family,1
48,1,7500,680,Kolkata,Unfurnished,Bachelors/Family,1
49,2,16000,850,Kolkata,Semi-Furnished,Bachelors,1
50,2,6500,700,Kolkata,Unfurnished,Bachelors,1
51,3,40000,1500,Kolkata,Unfurnished,Bachelors/Family,2
52,2,12500,950,Kolkata,Semi-Furnished,Bachelors/Family,2
53,1,8000,500,Kolkata,Unfurnished,Bachelors/Family,1
54,1,8200,500,Kolkata,Semi-Furnished,Bachelors/Family,1
55,2,15000,480,Kolkata,Furnished,Bachelors/Family,2
56,2,6700,800,Kolkata,Furnished,Bachelors/Family,1
